area_code
231
004
020
031
784
248
008
051
028
012
533
660
016
232
024
724
010
032
036
040
233
376
070
748
044
052
048
218
050
643
056
260
854
100
400
112
108
204
084
652
076
060
096
620
068
535
064
499
074
072
124
214
086
166
760
116
180
208
132
140
222
178
120
686
756
729
384
184
752
136
152
732
156
706
148
170
188
092
192
446
531
162
344
196
203
368
174
276
608
262
212
191
336
414
818
504
626
246
484
242
238
682
583
826
578
234
250
562
226
266
356
308
840
268
254
392
831
887
288
300
292
304
270
324
312
360
258
239
320
858
316
408
624
860
328
800
804
334
340
364
332
348
372
352
380
833
598
600
586
585
832
388
404
591
417
296
659
630
410
616
398
418
422
662
612
438
144
604
430
426
428
764
440
442
795
434
792
492
498
780
663
450
584
768
807
798
466
772
104
454
788
496
458
776
462
580
474
478
796
500
090
470
850
480
508
175
516
540
574
876
566
558
528
524
520
570
554
744
512
834
666
275
710
728
634
638
642
688
646
690
702
654
894
705
670
716
882
703
694
674
678
740
534
762
581
862
548
704
680
