"area_code","item_code","Area","Item","share","category"
792,2611,"Türkiye","Oranges, Mandarines",0.00628816835815649,"vegetal_products"
548,2620,"Vanuatu","Grapes and products (excl wine)",4.44989080652559e-05,"vegetal_products"
372,2614,"Ireland","Citrus, Other",0.000737954146969394,"vegetal_products"
174,2640,"Comoros","Pepper",0,"vegetal_products"
598,2615,"Papua New Guinea","Bananas",0.102735492949711,"vegetal_products"
208,2612,"Denmark","Lemons, Limes and products",0.000481349830245859,"vegetal_products"
388,2613,"Jamaica","Grapefruit and products",0.00337472655920795,"vegetal_products"
404,2586,"Kenya","Oilcrops Oil, Other",0.0430246281439573,"vegetal_products"
512,2615,"Oman","Bananas",0.0107002614805842,"vegetal_products"
188,2605,"Costa Rica","Vegetables, other",0.00704068570156398,"vegetal_products"
178,2615,"Congo","Bananas",0.0156957409642543,"vegetal_products"
132,2619,"Cabo Verde","Dates",0.000104752260902964,"vegetal_products"
516,2614,"Namibia","Citrus, Other",0,"vegetal_products"
678,2635,"Sao Tome and Principe","Tea (including mate)",8.60581494916115e-06,"vegetal_products"
586,2602,"Pakistan","Onions",0.00363537294499263,"vegetal_products"
756,2612,"Switzerland","Lemons, Limes and products",0.000373248768857743,"vegetal_products"
417,2617,"Kyrgyzstan","Apples and products",0.00965148056940357,"vegetal_products"
100,2613,"Bulgaria","Grapefruit and products",0.000328074526995847,"vegetal_products"
308,2617,"Grenada","Apples and products",0.00108720554849728,"vegetal_products"
116,2605,"Cambodia","Vegetables, other",0.00984184731235752,"vegetal_products"
356,2601,"India","Tomatoes and products",0.00216333611880533,"vegetal_products"
480,2613,"Mauritius","Grapefruit and products",0.000249318529353102,"vegetal_products"
528,2613,"Netherlands (Kingdom of the)","Grapefruit and products",0.000832970604905759,"vegetal_products"
470,2612,"Malta","Lemons, Limes and products",0.000346585117227319,"vegetal_products"
434,2620,"Libya","Grapes and products (excl wine)",0.00370121569445894,"vegetal_products"
246,2615,"Finland","Bananas",0.00669360381830913,"vegetal_products"
320,2601,"Guatemala","Tomatoes and products",0.00402827054801432,"vegetal_products"
498,2616,"Republic of Moldova","Plantains",3.737255957186e-06,"vegetal_products"
231,2605,"Ethiopia","Vegetables, other",0.00562629688199859,"vegetal_products"
203,2614,"Czechia","Citrus, Other",0.000280344213939202,"vegetal_products"
826,2612,"United Kingdom of Great Britain and Northern Ireland","Lemons, Limes and products",0.000489871898498543,"vegetal_products"
818,2601,"Egypt","Tomatoes and products",0.0147229838256682,"vegetal_products"
752,2611,"Sweden","Oranges, Mandarines",0.00859944286186437,"vegetal_products"
788,2614,"Tunisia","Citrus, Other",0.00452051056604918,"vegetal_products"
604,2602,"Peru","Onions",0.00684064237183446,"vegetal_products"
214,2613,"Dominican Republic","Grapefruit and products",0.000387784779447407,"vegetal_products"
762,2633,"Tajikistan","Cocoa Beans and products",0.0116853295032405,"vegetal_products"
860,2617,"Uzbekistan","Apples and products",0.0105400094672783,"vegetal_products"
643,2611,"Russian Federation","Oranges, Mandarines",0.00259244751564588,"vegetal_products"
840,2602,"United States of America","Onions",0.0031844316674038,"vegetal_products"
344,2613,"China, Hong Kong SAR","Grapefruit and products",0.00046650311872015,"vegetal_products"
760,2611,"Syrian Arab Republic","Oranges, Mandarines",0.00564060719096467,"vegetal_products"
804,2614,"Ukraine","Citrus, Other",0,"vegetal_products"
152,2614,"Chile","Citrus, Other",0,"vegetal_products"
496,2630,"Mongolia","Coffee and products",0.00207122529546029,"vegetal_products"
807,2616,"North Macedonia","Plantains",0.00477222997792101,"vegetal_products"
600,2615,"Paraguay","Bananas",0.00283400414525979,"vegetal_products"
554,2612,"New Zealand","Lemons, Limes and products",0.000251397003602296,"vegetal_products"
218,2611,"Ecuador","Oranges, Mandarines",0.00182318926790453,"vegetal_products"
191,2614,"Croatia","Citrus, Other",6.67336227348106e-06,"vegetal_products"
670,2619,"Saint Vincent and the Grenadines","Dates",1.75442905615226e-05,"vegetal_products"
659,2630,"Saint Kitts and Nevis","Coffee and products",8.38976448732546e-05,"vegetal_products"
